id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
2631	标本	6		biāo běn	specimen	sample	the root cause and symptoms of a disease		f		hsk	
2632	标记	6		biāo jì	sign	mark	symbol	to mark up	f		hsk	
2633	标题	6		biāo tí	title	heading	headline	caption	f		hsk	
2634	飙升	6		biāo shēng	to rise rapidly	to soar			f		hsk	
2635	表决	6		biǎo jué	to decide by vote	to vote			f		hsk	
2636	表态	6		biǎo tài	to declare one's position	to say where one stands			f		hsk	
2637	表彰	6		biǎo zhāng	to honor	to commend	to cite (in dispatches)		f		hsk	
2638	憋	6		biē	to choke	to stifle	to restrain	to hold back	f		hsk	
2639	别墅	6		bié shù	villa	CL:幢	座[zuò]		f		hsk	
2640	别致	6		bié zhì	variant of 別緻|别致[bié zhì]				f		hsk	
2641	别扭	6		biè niu	awkward	difficult	uncomfortable	not agreeing	f		hsk	
2642	濒临	6		bīn lín	on the verge of	close to			f		hsk	
2643	冰雹	6		bīng báo	hail	hailstone	CL:場|场	粒[lì]	f		hsk	
2644	并存	6		bìng cún	to exist at the same time	to coexist			f		hsk	
2645	并非	6		bìng fēi	really isn't				f		hsk	
2646	并列	6		bìng liè	to stand side by side	to be juxtaposed			f		hsk	
2647	拨打	6		bō dǎ	to call	to dial			f		hsk	
2648	播放	6		bō fàng	to broadcast	to transmit			f		hsk	
2649	播种	6		bō zhǒng	to sow seeds	sowing	seed		f		hsk	
2650	波浪	6		bō làng	wave				f		hsk	
2651	波涛汹涌	6		bō tāo xiōng yǒng	waves surging forth	roaring sea			f		hsk	
2652	剥削	6		bō xuē	to exploit	exploitation			f		hsk	
2653	博大精深	6		bó dà jīng shēn	wide-ranging and profound	broad and deep			f		hsk	
2654	博览会	6		bó lǎn huì	exposition	international fair			f		hsk	
2655	搏斗	6		bó dòu	to wrestle	to fight	to struggle		f		hsk	
2656	伯母	6		bó mǔ	wife of father's elder brother	aunt	(polite form of address for a woman who is about the age of one's mother)	CL:個|个[gè]	f		hsk	
2657	薄弱	6		bó ruò	weak	frail			f		hsk	
2658	不顾	6		bù gù	in spite of	regardless of			f		hsk	
2659	不愧	6		bù kuì	to be worthy of	to deserve to be called	to prove oneself to be		f		hsk	
2660	不料	6		bù liào	unexpectedly	to one's surprise			f		hsk	
2661	不像话	6		bù xiàng huà	unreasonable	shocking	outrageous		f		hsk	
2662	不屑一顾	6		bù xiè yī gù	to disdain as beneath contempt				f		hsk	
2663	补偿	6		bǔ cháng	to compensate	to make up			f		hsk	
2664	补救	6		bǔ jiù	to remedy				f		hsk	
2665	补贴	6		bǔ tiē	to subsidize	subsidy	allowance		f		hsk	
2666	哺乳	6		bǔ rǔ	breast feeding	to suckle	to nurse		f		hsk	
2667	捕捉	6		bǔ zhuō	to catch	to seize	to capture		f		hsk	
2668	不得已	6		bù dé yǐ	to act against one's will	to have no alternative but to	to have to	to have no choice	f		hsk	
2669	不妨	6		bù fáng	there is no harm in	might as well			f		hsk	
2670	不敢当	6		bù gǎn dāng	lit. I dare not (accept the honor); fig. I don't deserve your praise	you flatter me			f		hsk	
2671	不禁	6		bù jīn	can't help (doing sth)	can't refrain from			f		hsk	
2672	不堪	6		bù kān	cannot bear	cannot stand	utterly	extremely	f		hsk	
2673	不可思议	6		bù kě sī yì	inconceivable (idiom); unimaginable	unfathomable			f		hsk	
2674	不时	6		bù shí	from time to time	now and then	occasionally		f		hsk	
2675	不惜	6		bù xī	not stint	not spare	not hesitate (to do sth)	not scruple (to do sth)	f		hsk	
2676	不相上下	6		bù xiāng shàng xià	equally matched	about the same			f		hsk	
2677	不言而喻	6		bù yán ér yù	it goes without saying	it is self-evident			f		hsk	
2678	不由得	6		bù yóu de	can't help	cannot but			f		hsk	
2679	不择手段	6		bù zé shǒu duàn	by fair means or foul	by hook or by crook	unscrupulously		f		hsk	
2680	不止	6		bù zhǐ	incessantly	without end	more than	not limited to	f		hsk	
2681	布告	6		bù gào	posting on a bulletin board	notice	bulletin	to announce	f		hsk	
