id	hanzi	hsk	unit	pinyin	translations0	translations1	translations2	translations3	custom_translation	subunit	course	literal_translation
1	爱	1	3	ài	to love	affection	to be fond of	to like	f	1	hsk	
2	八	1	4	bā	eight	8			f	3	hsk	
3	爸爸	1	3	bà ba	father	CL:個|个	位[wèi]		t	3	hsk	1
4	杯子	1	9	bēi zi	cup	glass	CL:個|个	支	f	3	hsk	2
5	北京	1	9	Běi jīng	Beijing	capital of People's Republic of China	Peking	PRC government	f	1	hsk	8
6	本	1	14	běn	counter for books	origin	source	this	t	2	hsk	
7	不客气	1	17	bù kè qi	you're welcome	impolite	rude	blunt	f	3	hsk	
8	不	1	1	bù	not	not	no		t	2	hsk	
9	菜	1	13	cài	dish	vegetables	vegetable	cuisine	t	1	hsk	
10	茶	1	2	chá	tea	tea plant	CL:杯	壺|壶[hú]	f	2	hsk	
11	吃	1	2	chī	to eat	to consume	to eat at (a cafeteria etc)	to eradicate	f	1	hsk	
12	出租车	1	12	chū zū chē	taxi	(Taiwan) rental car			f	3	hsk	14
13	打电话	1	19	dǎ diàn huà	to make a telephone call				f	1	hsk	
14	大	1	9	dà	big	huge	large	major	f	2	hsk	
15	的	1	1	de	of	~'s (possessive particle)	(used after an attribute)	(used to form a nominal expression)	f	2	hsk	
16	点	1	7	diǎn	o'ckock	dot	drop	speck	t	1	hsk	
17	电脑	1	9	diàn nǎo	computer	CL:臺|台[tái]			f	5	hsk	21
18	电视	1	9	diàn shì	television	TV	CL:臺|台	個|个[gè]	f	5	hsk	23
19	电影	1	9	diàn yǐng	movie	film	CL:部	片	f	5	hsk	25
20	东西	1	5	dōng xi	thing	stuff	person	CL:個|个	f	1	hsk	29
21	都	1	5	dōu	all	both	entirely	(used for emphasis) even	f	1	hsk	
22	读	1	14	dú	to read	to study	reading of word (i.e. pronunciation)	similar to 拼音[pīn yīn]	f	2	hsk	
23	对不起	1	21	duì bu qǐ	sorry	to let down	I'm sorry	excuse me	t	1	hsk	
24	多	1	15	duō	many	much	a lot of	numerous	f	4	hsk	
25	多少	1	4	duō shao	how much	how many	which (number)	as much as	f	2	hsk	32
26	儿子	1	3	ér zi	son				f	3	hsk	
27	二	1	4	èr	two	2	stupid (Beijing dialect)		f	3	hsk	
28	饭馆	1	13	fàn guǎn	restaurant	CL:家[jiā]			f	1	hsk	
29	飞机	1	12	fēi jī	airplane	CL:架[jià]			f	3	hsk	42
30	分钟	1	7	fēn zhōng	minute				f	2	hsk	44
31	高兴	1	17	gāo xìng	happy	glad	willing (to do sth)	in a cheerful mood	f	1	hsk	49
32	个	1	3	gè	object marker				t	1	hsk	
33	工作	1	21	gōng zuò	to work	(of a machine) to operate	job	work	f	2	hsk	56
34	狗	1	9	gǒu	dog	CL:隻|只	條|条[tiáo]		f	2	hsk	
35	汉语	1	14	Hàn yǔ	Chinese language	CL:門|门[mén]			f	1	hsk	59
36	好	1	15	hǎo	good	well	proper	good to	f	3	hsk	
37	喝	1	2	hē	to drink	My goodness!			f	2	hsk	
38	和	1	2	hé	and	together with	with	sum	f	1	hsk	
39	很	1	5	hěn	very	quite	very	awfully	t	3	hsk	
40	后面	1	22	hòu mian	rear	back	behind	later	f	1	hsk	63
41	回	1	9	huí	to return	to curve	to revolve		f	1	hsk	
42	会	1	14	huì	can	be possible	be able to	will	f	1	hsk	
43	火车站	1	12	huǒ chē zhàn	train station				f	2	hsk	75
44	几	1	3	jǐ	how much	how many	several	a few	f	2	hsk	
45	家	1	3	jiā	home	family	classifier for families or businesses	refers to the philosophical schools of pre-Han China	f	2	hsk	
46	叫	1	1	jiào	to be called	to call	to order	to ask	f	3	hsk	
47	今天	1	6	jīn tiān	today	at the present	now		f	1	hsk	76
48	九	1	4	jiǔ	nine	9			f	3	hsk	
49	开	1	12	kāi	to drive	to start	to turn on	to boil	t	1	hsk	
50	看	1	19	kàn	to see	to look at	to read	to watch	f	1	hsk	
51	看见	1	22	kàn jiàn	to see	to catch sight of			f	3	hsk	80
52	块	1	4	kuài	piece	chunk	piece	classifier for pieces of cloth	t	1	hsk	
53	来	1	15	lái	to come	to arrive	to come round	ever since	f	2	hsk	
54	老师	1	15	lǎo shī	teacher	CL:個|个	位[wèi]		f	2	hsk	
55	了	1	7	le	past particle	(completed action marker)			t	2	hsk	
56	冷	1	16	lěng	cold				f	1	hsk	
57	里	1	9	lǐ	inside	500 meters (modern)	home	hometown	t	4	hsk	
58	零	1	5	líng	zero	nought	zero sign	fractional	f	2	hsk	
59	六	1	4	liù	six	6			f	2	hsk	
60	妈妈	1	3	mā ma	mama	mommy	mother	CL:個|个	f	1	hsk	83
61	吗	1	1	ma	(question tag)				f	2	hsk	
62	买	1	5	mǎi	to buy	to purchase			f	1	hsk	
63	猫	1	9	māo	cat	CL:隻|只[zhī]			f	2	hsk	
64	没	1	15	méi	without	have not	not		t	4	hsk	
65	没关系	1	21	méi guān xi	it doesn't matter				f	2	hsk	
66	米饭	1	2	mǐ fàn	cooked rice				t	1	hsk	100
67	明天	1	6	míng tiān	tomorrow				f	1	hsk	103
68	名字	1	1	míng zi	name	CL:個|个[gè]			t	3	hsk	104
69	哪	1	5	nǎ	which	which			t	1	hsk	
70	那	1	4	nà	that	those	then (in that case)	commonly pr.  before a classifier	f	2	hsk	
71	呢	1	14	ne	how about	'And ...?')	particle for inquiring about location ('Where is ...?')	particle signaling a pause	t	3	hsk	
72	能	1	23	néng	to be able to	to be capable of	ability	capability	f	3	hsk	
73	你	1	1	nǐ	you	as opposed to courteous 您)			t	2	hsk	
74	年	1	6	nián	year	CL:個|个[gè]			f	2	hsk	
75	女儿	1	3	nǚ ér	daughter				f	2	hsk	106
76	朋友	1	1	péng you	friend	CL:個|个	位[wèi]		f	2	hsk	111
77	漂亮	1	18	piào liang	pretty	beautiful			f	2	hsk	113
78	苹果	1	2	píng guǒ	apple	CL:個|个	顆|颗[kē]		f	1	hsk	117
79	七	1	4	qī	seven	7			f	2	hsk	
80	钱	1	4	qián	coin	money	CL:筆|笔[bǐ]	unit of weight	f	1	hsk	
81	前面	1	22	qián miàn	ahead	in front	preceding	above	f	2	hsk	121
82	请	1	21	qǐng	to ask	to invite	please (do sth)	to treat (to a meal etc)	f	3	hsk	
83	去	1	5	qù	to go	to go to (a place)	to cause to go or send (sb)	to remove	f	1	hsk	
84	热	1	16	rè	hot	to heat up	hot (of weather)	heat	t	1	hsk	
85	人	1	3	rén	man	person	people	CL:個|个	f	2	hsk	
86	认识	1	17	rèn shi	to know	to recognize	to be familiar with	to get acquainted with sb	f	1	hsk	123
87	日	1	6	rì	sun	day	date	day of the month	f	2	hsk	
88	三	1	3	sān	three	3			f	2	hsk	
89	商店	1	5	shāng diàn	store	shop	CL:家	個|个[gè]	f	1	hsk	125
90	上	1	9	shàng	on top	upon	above	upper	f	3	hsk	
91	上午	1	7	shàng wǔ	a.m.	CL:個|个[gè]			t	2	hsk	
92	少	1	4	shǎo	less	little	lack		t	3	hsk	
93	谁	1	1	shéi	who	also pr. [shuí]			f	3	hsk	
94	什么	1	1	shén me	what	who?	something	anything	t	3	hsk	132
95	十	1	4	shí	ten	10			f	3	hsk	
96	时候	1	16	shí hou	time	length of time	moment	period	f	2	hsk	
97	是	1	1	shì	is	are	am	yes	f	1	hsk	
98	书	1	14	shū	book	letter	CL:本	冊|册	f	2	hsk	
99	水	1	2	shuǐ	water	river	liquid	beverage	f	2	hsk	
100	水果	1	2	shuǐ guǒ	fruit	CL:個|个[gè]			f	1	hsk	139
101	睡觉	1	7	shuì jiào	to go to bed	to sleep			f	3	hsk	143
102	说话	1	21	shuō huà	to speak	to say	to talk	to gossip	f	3	hsk	
103	四	1	4	sì	four	4			f	1	hsk	
104	岁	1	6	suì	years old	year	year (of crop harvests)		t	3	hsk	
105	他	1	1	tā	he or him	(used for either sex when the sex is unknown or unimportant)	(used before sb's name for emphasis)	(used as a meaningless mock object)	f	2	hsk	
106	她	1	1	tā	she				f	3	hsk	
107	太	1	16	tài	too	greatest	too (much)	very	t	3	hsk	
108	天气	1	16	tiān qì	weather				f	1	hsk	
109	听	1	23	tīng	to listen	to hear	to obey	a can (loanword from English 'tin')	f	3	hsk	
110	同学	1	15	tóng xué	classmate	fellow student	classmate	CL:位	t	3	hsk	
111	喂	1	9	wèi	to feed				f	2	hsk	
112	我	1	1	wǒ	I	me	my		f	1	hsk	
113	我们	1	3	wǒ men	we	us	ourselves	our	f	2	hsk	154
114	五	1	4	wǔ	five	5			f	1	hsk	
115	喜欢	1	2	xǐ huan	to like	to be fond of			f	2	hsk	
116	下	1	9	xià	down	downwards	below	lower	f	3	hsk	
117	下午	1	7	xià wǔ	afternoon	CL:個|个[gè]	p.m.		f	3	hsk	
118	下雨	1	16	xià yǔ	to rain	rainy			f	2	hsk	160
119	先生	1	17	xiān sheng	Mr.	husband	doctor (topolect)	CL:位[wèi]	f	1	hsk	162
120	现在	1	7	xiàn zài	now	at present	at the moment	modern	f	2	hsk	163
121	想	1	3	xiǎng	to think	to believe	to suppose	to wish	f	4	hsk	
122	小	1	9	xiǎo	small	tiny	few	young	f	2	hsk	
123	小姐	1	18	xiǎo jie	young lady	miss	(slang) prostitute	CL:個|个	f	2	hsk	164
124	些	1	2	xiē	some	few	several	measure word indicating a small amount or small number (greater than 1)	f	3	hsk	
125	写	1	14	xiě	to write				f	3	hsk	
126	谢谢	1	17	xiè xie	to thank	thanks			f	2	hsk	168
127	星期	1	6	xīng qī	week	CL:個|个[gè]	day of the week	Sunday	f	1	hsk	
128	学生	1	15	xué sheng	student	schoolchild			f	3	hsk	171
129	学习	1	14	xué xí	to learn	to study			f	1	hsk	172
130	学校	1	15	xué xiào	school	CL:所[suǒ]			f	1	hsk	174
131	一	1	2	yī	one	1	single	a (article)	f	3	hsk	
132	衣服	1	18	yī fu	clothes	CL:件	套[tào]		f	1	hsk	
133	医生	1	19	yī shēng	doctor	CL:個|个	位	名[míng]	f	1	hsk	
134	医院	1	19	yī yuàn	hospital	CL:所	家	座[zuò]	f	2	hsk	181
135	椅子	1	9	yǐ zi	chair	CL:把	套[tào]		f	4	hsk	182
136	有	1	2	yǒu	to have	there is	there are	to exist	f	3	hsk	
137	月	1	6	yuè	moon	month	CL:個|个	輪|轮[lún]	f	2	hsk	
138	在	1	9	zài	at	(to be) in	to exist	in the middle of doing sth	t	1	hsk	
139	再见	1	1	zài jiàn	goodbye	see you again later			f	1	hsk	185
140	怎么	1	22	zěn me	how				t	1	hsk	186
141	怎么样	1	18	zěn me yàng	how?	how about?	how was it?	how are things?	f	3	hsk	192
142	这	1	4	zhè	this	these	(commonly pr.  before a classifier	esp. in Beijing)	f	1	hsk	
143	中国	1	21	Zhōng guó	China	Middle Kingdom			f	2	hsk	196
144	中午	1	7	zhōng wǔ	noon	midday	CL:個|个[gè]		f	2	hsk	
145	住	1	9	zhù	to live	to dwell	to stay	to reside	f	1	hsk	
146	桌子	1	9	zhuō zi	table	desk	CL:張|张	套[tào]	f	3	hsk	204
147	字	1	14	zì	letter	symbol	character	word	f	3	hsk	
148	昨天	1	6	zuó tiān	yesterday				f	1	hsk	207
149	坐	1	12	zuò	to sit	to take a seat	to take (a bus	airplane etc)	f	1	hsk	
150	做	1	21	zuò	to do	to make	to produce	to write	f	3	hsk	
151	吧	2	23	ba	(modal particle indicating suggestion or surmise)	...right?	...OK?	...I presume.	f	2	hsk	
152	白	2	18	bái	white	snowy	pure	bright	f	3	hsk	
153	百	2	5	bǎi	hundred	numerous	all kinds of		f	2	hsk	
154	帮助	2	17	bāng zhù	help	aid	to help	to assist	t	3	hsk	210
155	报纸	2	14	bào zhǐ	newspaper	newsprint	CL:份	期	f	4	hsk	211
156	比	2	13	bǐ	more than	to compare	to contrast	to gesture (with hands)	t	1	hsk	
157	别	2	16	bié	don't	to depart	to separate	to distinguish	t	3	hsk	
158	长	2	22	cháng	length	long	forever	always	f	2	hsk	
159	唱歌	2	23	chàng gē	to sing a song				f	3	hsk	214
160	出	2	12	chū	to go out	to come out	to occur	to produce	f	3	hsk	
161	穿	2	18	chuān	wear	to pierce	to perforate	to penetrate	t	1	hsk	
162	船	2	12	chuán	a boat	vessel	ship	CL:條|条	f	2	hsk	
163	次	2	19	cì	next in sequence	second	the second (day	time etc)	f	2	hsk	
164	从	2	12	cóng	from	via	passing through	through (a gap)	f	1	hsk	
165	错	2	14	cuò	mistake	wrong	bad	interlocking	f	3	hsk	
166	打篮球	2	23	dá lán qiú	play basketball				t	2	hsk	215
167	大家	2	21	dà jiā	everyone	influential family	great expert		f	2	hsk	
168	但是	2	14	dàn shì	but	however			f	2	hsk	
169	到	2	12	dào	to (a place)	until (a time)	up to	to go	f	1	hsk	
170	得	2	23	de	particle used after a verb	linking it to following phrase indicating effect	degree	possibility etc	t	1	hsk	
171	得	2	19	děi	to have to	must	ought to	to need to	f	1	hsk	
172	弟弟	2	3	dì di	younger brother	CL:個|个	位[wèi]		f	4	hsk	224
173	第一	2	14	dì yī	first	number one			f	4	hsk	
174	懂	2	14	dǒng	to understand	to know			f	2	hsk	
175	房间	2	9	fáng jiān	room	CL:間|间[jiān]			f	4	hsk	231
176	非常	2	16	fēi cháng	unusual	extraordinary	extreme	very	f	1	hsk	234
177	服务员	2	13	fú wù yuán	waiter	waitress	attendant	customer service personnel	f	2	hsk	236
178	高	2	3	gāo	high	tall	above average	loud	f	4	hsk	
179	告诉	2	15	gào su	to tell	to inform	to let know		f	2	hsk	
180	哥哥	2	3	gē ge	older brother	CL:個|个	位[wèi]		f	1	hsk	240
181	给	2	13	gěi	to	for	for the benefit of	to give	t	2	hsk	
182	公共汽车	2	12	gōng gòng qì chē	bus	CL:輛|辆	班[bān]		f	1	hsk	241
183	公斤	2	13	gōng jīn	kilogram				t	3	hsk	
184	公司	2	21	gōng sī	company	company	firm	corporation	t	2	hsk	246
185	贵	2	5	guì	expensive	noble	your (name)	precious	f	3	hsk	
186	还	2	21	hái	still	still in progress	still more	yet	f	1	hsk	
187	孩子	2	3	hái zi	child				f	1	hsk	
188	好吃	2	13	hǎo chī	tasty	delicious			f	1	hsk	249
189	号	2	6	hào	day of a month	ordinal number	mark	sign	f	2	hsk	
190	黑	2	18	hēi	black	dark	(loanword) to hack		f	3	hsk	
191	红	2	18	hóng	red	popular	revolutionary	bonus	f	1	hsk	
192	欢迎	2	17	huān yíng	to welcome	welcome			f	2	hsk	
194	回答	2	17	huí dá	to reply	to answer	the answer	CL:個|个[gè]	f	4	hsk	
195	机场	2	12	jī chǎng	airport	airfield	CL:家	處|处[chù]	f	3	hsk	270
196	鸡蛋	2	13	jī dàn	egg	hen's egg	CL:個|个	打[dá]	t	2	hsk	271
197	件	2	18	jiàn	item	component	classifier for events	things	f	1	hsk	
198	教室	2	15	jiào shì	classroom	CL:間|间[jiān]			f	2	hsk	273
199	姐姐	2	3	jiě jie	older sister	CL:個|个[gè]			f	1	hsk	279
200	介绍	2	17	jiè shào	to introduce (sb to sb)	to give a presentation	to present (sb for a job etc)	introduction	f	1	hsk	280
201	进	2	22	jìn	to advance	to enter	to come (or go) into	to receive or admit	f	1	hsk	
202	近	2	22	jìn	near	close to	approximately		f	3	hsk	
203	就	2	7	jiù	at once	right away	only	just (emphasis)	f	3	hsk	
204	觉得	2	18	jué de	to think	to feel			f	2	hsk	
205	咖啡	2	13	kā fēi	coffee	CL:杯[bēi]			f	2	hsk	288
206	开始	2	15	kāi shǐ	to begin	beginning	to start	initial	f	1	hsk	289
207	考试	2	15	kǎo shì	to take an exam	exam	CL:次[cì]		f	4	hsk	291
208	可能	2	16	kě néng	might (happen)	possible	probable	possibility	f	2	hsk	294
209	可以	2	17	kě yǐ	can	may	possible	able to	f	3	hsk	
210	课	2	15	kè	class	course	CL: 門|门[mén]	class	t	1	hsk	
211	快	2	23	kuài	fast	quick	speed	rate	t	4	hsk	
212	快乐	2	6	kuài lè	happy	merry			t	3	hsk	306
213	累	2	7	lèi	tired	weary	to strain	to wear out	f	1	hsk	
214	离	2	22	lí	from	to part from	to be away from	(in giving distances) from	t	2	hsk	
215	两	2	2	liǎng	two	two	ounce	some	t	3	hsk	
216	路	2	22	lù	road	CL:條|条[tiáo]	journey	route	f	2	hsk	
217	旅游	2	12	lǚ yóu	trip	journey	tourism	travel	f	3	hsk	309
218	卖	2	5	mài	to sell	to betray	to spare no effort	to show off or flaunt	f	3	hsk	
219	慢	2	23	màn	slow				f	4	hsk	
220	忙	2	21	máng	busy	hurriedly	to hurry	to rush	f	1	hsk	
221	每	2	6	měi	each	every			f	3	hsk	
222	妹妹	2	3	mèi mei	younger sister	fig. younger woman (esp. girl friend or rival)	CL:個|个[gè]		f	4	hsk	311
223	门	2	22	mén	gate	door	CL:扇[shàn]	gateway	f	1	hsk	
224	男人	2	23	nán rén	a man	a male	men	CL:個|个[gè]	f	2	hsk	312
225	您	2	17	nín	you (polite)	as opposed to informal 你)			t	2	hsk	
226	牛奶	2	13	niú nǎi	cow's milk	CL:瓶	杯[bēi]		f	2	hsk	
227	女人	2	18	nǚ rén	woman				f	2	hsk	319
228	旁边	2	9	páng biān	beside	side	to the side	beside	t	5	hsk	322
229	跑步	2	23	pǎo bù	runing	to march	to run		t	4	hsk	323
230	便宜	2	5	pián yi	cheap	to let sb off lightly	small advantages	inexpensive	f	3	hsk	328
231	票	2	12	piào	ticket	ballot	bank note	CL:張|张[zhāng]	f	2	hsk	
232	妻子	2	3	qī zi	wife	CL:個|个[gè]			f	3	hsk	334
233	起床	2	7	qǐ chuáng	to get out of bed	to get up			f	1	hsk	335
234	千	2	5	qiān	thousand	a swing			f	2	hsk	
235	晴	2	16	qíng	clear	fine (weather)			f	3	hsk	
236	去年	2	6	qù nián	last year				f	3	hsk	338
237	让	2	17	ràng	allow	to permit	to let sb do sth	to have sb do sth	t	1	hsk	
238	上班	2	21	shàng bān	to go to work	to be on duty	to start work	to go to the office	f	1	hsk	
239	身体	2	19	shēn tǐ	(human) body	health	CL:個|个[gè]		f	2	hsk	344
240	生病	2	19	shēng bìng	to fall ill				f	1	hsk	345
241	生日	2	6	shēng rì	birthday	CL:個|个[gè]			f	3	hsk	
242	时间	2	7	shí jiān	time	period	CL:段[duàn]		f	2	hsk	
243	事情	2	21	shì qing	affair	matter	thing	business	f	3	hsk	354
244	手表	2	18	shǒu biǎo	wrist watch	CL:塊|块	隻|只	個|个[gè]	f	3	hsk	356
245	手机	2	5	shǒu jī	cell phone	mobile phone	CL:部	支[zhī]	f	2	hsk	358
246	送	2	14	sòng	to deliver	to carry	to give (as a present)	to present (with)	f	4	hsk	
247	所以	2	7	suǒ yǐ	therefore	as a result	so		f	3	hsk	
248	它	2	9	tā	it				f	3	hsk	
249	踢	2	23	tī	to kick	to play (e.g. soccer)			f	1	hsk	
250	题	2	15	tí	problem	problem for discussion	exam question	subject	t	4	hsk	
251	跳舞	2	23	tiào wǔ	to dance				f	3	hsk	363
252	外	2	23	wài	outside	in addition	foreign	external	f	2	hsk	
253	完	2	14	wán	to finish	to be over	whole	complete	f	4	hsk	
254	玩	2	23	wán	play	sth used for amusement	curio or antique (Taiwan pr. )	to play	t	1	hsk	
255	晚上	2	7	wǎn shang	evening	night	CL:個|个[gè]	in the evening	f	3	hsk	
256	为	2	21	wèi	for	because of	for	to	t	3	hsk	
257	问	2	22	wèn	to ask				f	3	hsk	
258	问题	2	17	wèn tí	question	problem	issue	topic	f	4	hsk	366
259	西瓜	2	13	xī guā	watermelon	CL:條|条[tiáo]			f	3	hsk	369
260	希望	2	16	xī wàng	to wish for	to desire	hope CL:個|个[gè]		f	3	hsk	371
261	洗	2	18	xǐ	to wash	to bathe	to develop (photo)		f	3	hsk	
262	向	2	22	xiàng	towards	to face	to turn towards	direction	f	3	hsk	
263	小时	2	7	xiǎo shí	hour	CL:個|个[gè]			f	1	hsk	
264	笑	2	15	xiào	laugh	smile	CL:個|个[gè]		f	3	hsk	
265	新	2	18	xīn	new	newly	meso- (chemistry)		f	2	hsk	
266	姓	2	17	xìng	family name	surname	name	CL:個|个[gè]	f	2	hsk	
267	休息	2	23	xiū xi	rest	to rest			f	4	hsk	376
268	雪	2	16	xuě	snow	snowfall	CL:場|场[cháng]	to have the appearance of snow	f	2	hsk	
269	颜色	2	18	yán sè	color	CL:個|个[gè]			f	1	hsk	380
270	眼睛	2	18	yǎn jing	eye	CL:隻|只	雙|双[shuāng]		f	2	hsk	383
271	羊肉	2	13	yáng ròu	mutton				f	3	hsk	384
272	药	2	19	yào	medicine	drug	cure	CL:種|种	f	2	hsk	
273	要	2	2	yào	want	vital	to want	will	t	2	hsk	
274	也	2	13	yě	also	too	(in Classical Chinese) final particle implying affirmation		f	3	hsk	
275	已经	2	14	yǐ jīng	already				f	4	hsk	
276	一起	2	15	yī qǐ	in the same place	together	with	altogether (in total)	f	3	hsk	388
277	意思	2	14	yì si	meaning	opinion	meaning	wish	t	3	hsk	390
278	阴	2	16	yīn	overcast	cloudy	shady	Yin (the negative principle of Yin and Yang)	t	3	hsk	
279	因为	2	21	yīn wèi	because	owing to	on account of		f	1	hsk	394
280	游泳	2	23	yóu yǒng	swimming	to swim			f	1	hsk	400
281	右边	2	22	yòu bian	right	right	to the right		t	3	hsk	
282	鱼	2	13	yú	fish	CL:條|条	尾[wěi]		f	3	hsk	
283	元	2	5	yuán	yuan	dollar	primary	first	t	2	hsk	
284	远	2	22	yuǎn	far	distant	remote		f	2	hsk	
285	运动	2	23	yùn dòng	exercise	to exercise	sports	exercise	t	4	hsk	404
286	再	2	16	zài	again	once more	re-	second	f	2	hsk	
287	早上	2	7	zǎo shang	morning	CL:個|个[gè]			t	1	hsk	
288	张	2	9	zhāng	to open up	to spread	sheet of paper	classifier for flat objects	f	4	hsk	
289	长	2	3	zhǎng	grow	head	elder	to grow	t	4	hsk	
290	丈夫	2	3	zhàng fu	husband	CL:個|个[gè]			f	3	hsk	408
291	找	2	5	zhǎo	to try to find	to look for	to call on sb	to find	f	3	hsk	
292	着	2	18	zhe	aspect particle indicating action in progress				f	1	hsk	
293	真	2	9	zhēn	really	truly	indeed	real	f	5	hsk	
294	正在	2	14	zhèng zài	currently	while (doing)			t	1	hsk	410
295	知道	2	17	zhī dào	to know	to be aware of	also pron. [zhī dao]		f	4	hsk	411
296	准备	2	15	zhǔn bèi	preparation	to prepare	to intend	to be about to	f	4	hsk	414
297	自行车	2	12	zì xíng chē	bicycle	bike	CL:輛|辆[liàng]		f	2	hsk	420
298	走	2	22	zǒu	to walk	to go	to run	to move (of vehicle)	f	3	hsk	
299	最	2	13	zuì	most	the most	-est (superlative suffix)		f	1	hsk	
300	左边	2	22	zuǒ bian	left	the left side	to the left of		f	1	hsk	424
301	阿姨	3	24	ā yí	aunt	step-mother	childcare worker	nursemaid	t	3	hsk	428
302	啊	3	27	a	modal particle ending sentence	showing affirmation	approval	or consent	f	1	hsk	
303	矮	3	24	ǎi	short	short (in length)			t	2	hsk	
304	爱好	3	40	ài hào	hobbie	to take pleasure in	keen on	fond of	t	1	hsk	430
305	安静	3	35	ān jìng	quiet	peaceful	calm		f	3	hsk	
306	把	3	26	bǎ	active indicator particle	to contain	to grasp	to take hold of	t	1	hsk	
307	搬	3	37	bān	to move	to shift	to remove	to transport	f	1	hsk	
308	班	3	33	bān	class	class	squad	work shift	t	1	hsk	
309	半	3	44	bàn	half	semi-	incomplete	(after a number) and a half	f	3	hsk	
310	办法	3	37	bàn fǎ	means	method	way (of doing sth)	CL:條|条	f	3	hsk	
311	办公室	3	28	bàn gōng shì	office	business premises	bureau	CL:間|间[jiān]	f	2	hsk	438
312	帮忙	3	37	bāng máng	to help	to lend a hand	to do a favor	to do a good turn	f	1	hsk	
313	包	3	37	bāo	bag	to wrap	to hold	to include	t	1	hsk	
314	饱	3	25	bǎo	to eat till full	satisfied			f	1	hsk	
315	北方	3	29	běi fāng	north	the northern part a country	China north of the Yellow River		f	4	hsk	443
316	被	3	26	bèi	by	by	(indicates passive-voice clauses)	(literary) to cover	t	1	hsk	
317	鼻子	3	30	bí zi	nose	CL:個|个	隻|只[zhī]		f	1	hsk	444
318	比较	3	42	bǐ jiào	to compare	to contrast	comparatively	relatively	f	2	hsk	446
319	比赛	3	34	bǐ sài	competition	match	CL:場|场	次[cì]	t	1	hsk	
320	必须	3	31	bì xū	to have to	must	compulsory	necessarily	f	3	hsk	453
321	变化	3	39	biàn huà	change	variation	to change	to vary	f	1	hsk	454
322	表示	3	36	biǎo shì	to express	to show	to say	to state	f	2	hsk	456
323	表演	3	40	biǎo yǎn	play	show	performance	exhibition	f	2	hsk	
324	别人	3	42	bié ren	other people	others	other person		f	1	hsk	460
325	宾馆	3	38	bīn guǎn	hotel	lodge	hotel	CL:個|个	t	2	hsk	463
326	冰箱	3	26	bīng xiāng	refrigerator	freezer cabinet	refrigerator	CL:臺|台	t	1	hsk	466
327	才	3	24	cái	only	just now	(preceded by a clause of condition or reason) not until	(followed by a numerical clause) only	t	1	hsk	
328	菜单	3	25	cài dān	menu	CL:份	張|张[zhāng]		f	3	hsk	468
329	参加	3	36	cān jiā	to participate	to take part	to join		f	2	hsk	472
330	草	3	27	cǎo	grass	straw	manuscript	draft (of a document)	f	2	hsk	
331	层	3	28	céng	floor	stratum	laminated	floor (of a building)	t	2	hsk	
332	差	3	42	chà	poor	to fall short of	lacking	wrong	t	2	hsk	
333	超市	3	44	chāo shì	supermarket	CL:家[jiā]			t	3	hsk	483
334	衬衫	3	32	chèn shān	shirt	blouse	CL:件[jiàn]		f	1	hsk	484
335	成绩	3	33	chéng jì	achievement	performance records	grades	CL:項|项	f	1	hsk	
336	城市	3	25	chéng shì	city	town	CL:座[zuò]		f	4	hsk	487
337	迟到	3	28	chí dào	to arrive late				f	3	hsk	489
338	出现	3	40	chū xiàn	to appear	to arise	to emerge	to show up	f	4	hsk	490
339	除了	3	34	chú le	besides	apart from (... also...)	in addition to	except (for)	f	1	hsk	
340	厨房	3	26	chú fáng	kitchen	CL:間|间[jiān]			f	2	hsk	496
341	春	3	39	chūn	spring	gay	joyful	youthful	t	1	hsk	
342	词语	3	31	cí yǔ	word	term (e.g. technical term)	expression		t	1	hsk	503
343	聪明	3	42	cōng ming	smart	clever	intelligent	bright	t	2	hsk	504
344	打扫	3	26	dǎ sǎo	to clean	to sweep			f	3	hsk	508
345	打算	3	36	dǎ suàn	to plan	to intend	to calculate	plan	f	2	hsk	510
346	带	3	37	dài	bring	belt	girdle	ribbon	t	1	hsk	
347	担心	3	43	dān xīn	to worry	worried	uneasy	to worry	t	1	hsk	
348	蛋糕	3	44	dàn gāo	cake	CL:塊|块	個|个[gè]		f	2	hsk	515
349	当然	3	40	dāng rán	only natural	as it should be	certainly	of course	f	4	hsk	520
350	地	3	40	de	-ly	structural particle: used before a verb or adjective	linking it to preceding modifying adverbial adjunct		f	1	hsk	
351	灯	3	26	dēng	lamp	light	lantern	CL:盞|盏[zhǎn]	f	2	hsk	
352	低	3	42	dī	low	beneath	to lower (one's head)	to let droop	f	1	hsk	
353	地方	3	29	dì fang	area	place	space	room	f	3	hsk	522
354	地铁	3	29	dì tiě	subway	metro			f	1	hsk	526
355	地图	3	29	dì tú	map	CL:張|张	本[běn]		f	3	hsk	529
356	电梯	3	28	diàn tī	elevator	escalator	CL:臺|台	部[bù]	f	1	hsk	531
357	电子	3	38	diàn zǐ	electronic	electron (particle physics)			f	3	hsk	532
358	冬	3	39	dōng	winter	onomatopoeia for rat-a-tat etc			t	1	hsk	
359	东	3	29	dōng	east	host (i.e. sitting on east side of guest)	landlord		f	2	hsk	
360	动物	3	35	dòng wù	animal	CL:隻|只	群	個|个[gè]	f	1	hsk	534
361	短	3	32	duǎn	short	to lack	weak point	fault	t	3	hsk	
362	段	3	31	duàn	paragraph	section	segment	stage (of a process)	f	3	hsk	
